query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,is_open,valid_before_norm,normalized_mobile,valid_after_norm,query_created_time,query_closed_time,resolution_time_days,category,is_valid_email
Q0024,johnsonnicholas@example.org,4288812024,Account Suspension,Terms of use were unclear.,Closed,2025-02-10,2025-02-13,False,False,4288812024,False,2025-02-10,2025-02-13,3.0,Account Suspension,True
Q0025,thomas14@example.net,8179811997,Bug Report,Search bar resets randomly.,Closed,2025-04-01,2025-04-13,False,True,8179811997,True,2025-04-01,2025-04-13,12.0,Bug Report,True
Q0026,robinwiggins@example.net,9428958105,Technical Support,Slow performance during peak hours.,Closed,2025-05-28,2025-06-01,False,True,9428958105,True,2025-05-28,2025-06-01,4.0,Technical Support,True
Q0027,fostermegan@example.org,4441447695,Subscription Cancellation,App locked after cancellation.,Closed,2025-03-17,2025-03-19,False,False,4441447695,False,2025-03-17,2025-03-19,2.0,Subscription Cancellation,True
Q0028,woodmichael@example.com,6460794942,Technical Support,Download button is inactive.,Closed,2025-07-03,2025-07-05,False,True,6460794942,True,2025-07-03,2025-07-05,2.0,Technical Support,True
Q0029,rachaelcobb@example.net,9777668613,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-04-23,2025-05-03,False,True,9777668613,True,2025-04-23,2025-05-03,10.0,UI Feedback,True
Q0030,robertsconnie@example.net,1304088049,Billing Problem,Unable to update billing address.,Closed,2025-07-18,2025-07-25,False,False,1304088049,False,2025-07-18,2025-07-25,7.0,Billing Problem,True
Q0031,keithcontreras@example.org,4915591174,Bug Report,Back button doesn’t work.,Closed,2025-06-07,2025-06-10,False,False,4915591174,False,2025-06-07,2025-06-10,3.0,Bug Report,True
Q0032,ryanwilcox@example.com,818425068,Bug Report,Dropdown not loading values.,Closed,2025-03-19,2025-03-20,False,False,818425068,False,2025-03-19,2025-03-20,1.0,Bug Report,True
Q0033,pross@example.net,4162709388,Subscription Cancellation,Wrong account cancelled.,Closed,2025-06-15,2025-06-19,False,False,4162709388,False,2025-06-15,2025-06-19,4.0,Subscription Cancellation,True
Q0034,victorgonzalez@example.org,4779789604,Payment Failure,Payment failed due to card error.,Closed,2025-04-01,2025-04-08,False,False,4779789604,False,2025-04-01,2025-04-08,7.0,Payment Failure,True
Q0035,zallen@example.com,4530781588,Technical Support,Freezing during screen load.,Closed,2025-06-25,2025-06-30,False,False,4530781588,False,2025-06-25,2025-06-30,5.0,Technical Support,True
Q0036,nbeard@example.org,242959217,Feature Request,Multi-user role system would help.,Closed,2025-07-16,2025-07-17,False,False,242959217,False,2025-07-16,2025-07-17,1.0,Feature Request,True
Q0037,aaron20@example.org,2099154981,Feature Request,Add folder structure to organize data.,Closed,2025-06-05,2025-06-11,False,False,2099154981,False,2025-06-05,2025-06-11,6.0,Feature Request,True
Q0038,david27@example.com,9058805245,UI Feedback,Dark mode missing in login.,Closed,2025-07-19,2025-07-26,False,True,9058805245,True,2025-07-19,2025-07-26,7.0,UI Feedback,True
Q0039,kristen99@example.org,9634484656,Technical Support,Download button is inactive.,Closed,2025-04-07,2025-04-09,False,True,9634484656,True,2025-04-07,2025-04-09,2.0,Technical Support,True
Q0040,hyoung@example.com,2052334703,Payment Failure,Charged twice for one payment.,Opened,2025-07-20,,True,False,2052334703,False,2025-07-20,,,Payment Failure,True
Q0041,brandonrich@example.org,9722727167,Feature Request,Need in-app video tutorials.,Closed,2025-06-24,2025-06-25,False,True,9722727167,True,2025-06-24,2025-06-25,1.0,Feature Request,True
Q0042,kellyblack@example.net,1283541419,Feature Request,Include a mobile-first UI option.,Closed,2025-02-23,2025-02-27,False,False,1283541419,False,2025-02-23,2025-02-27,4.0,Feature Request,True
Q0043,cyoung@example.com,6654327583,Bug Report,Unable to delete old entries.,Closed,2025-06-07,2025-06-08,False,True,6654327583,True,2025-06-07,2025-06-08,1.0,Bug Report,True
Q0044,mcdonaldchelsea@example.net,3184013731,Data Export,Exported PDF looks blank.,Closed,2025-05-26,2025-06-12,False,False,3184013731,False,2025-05-26,2025-06-12,17.0,Data Export,True
Q0045,bryantsydney@example.com,5292505993,UI Feedback,Filter section takes too much space.,Closed,2025-04-06,2025-04-08,False,False,5292505993,False,2025-04-06,2025-04-08,2.0,UI Feedback,True
Q0046,turnerjerome@example.com,8401095516,Feature Request,Need in-app video tutorials.,Closed,2025-04-10,2025-04-11,False,True,8401095516,True,2025-04-10,2025-04-11,1.0,Feature Request,True
Q0047,hobbsbrian@example.com,689770710,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-02-22,2025-02-27,False,False,689770710,False,2025-02-22,2025-02-27,5.0,UI Feedback,True
Q0048,ogordon@example.net,7530165333,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-04-09,2025-04-14,False,True,7530165333,True,2025-04-09,2025-04-14,5.0,Account Suspension,True
Q0049,lori61@example.org,5625215460,Technical Support,White screen on startup.,Closed,2025-02-13,2025-02-21,False,False,5625215460,False,2025-02-13,2025-02-21,8.0,Technical Support,True
Q0050,alexandriajohnson@example.org,8172065417,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-02-17,2025-03-02,False,True,8172065417,True,2025-02-17,2025-03-02,13.0,Login Issue,True
Q0051,oburns@example.net,9180520966,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-04-12,2025-04-19,False,True,9180520966,True,2025-04-12,2025-04-19,7.0,Subscription Cancellation,True
Q0052,nmartinez@example.org,2094516406,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-07-24,2025-08-08,False,False,2094516406,False,2025-07-24,2025-08-08,15.0,UI Feedback,True
Q0053,fieldsgeorge@example.org,7586052409,Technical Support,Settings not saving properly.,Closed,2025-02-11,2025-02-17,False,True,7586052409,True,2025-02-11,2025-02-17,6.0,Technical Support,True
Q0054,frangel@example.com,941377753,Bug Report,Tab focus jumps incorrectly.,Closed,2025-03-17,2025-03-23,False,False,941377753,False,2025-03-17,2025-03-23,6.0,Bug Report,True
Q0055,alexis63@example.net,47574843,Data Export,Time range in export is incorrect.,Closed,2025-07-14,2025-07-17,False,False,47574843,False,2025-07-14,2025-07-17,3.0,Data Export,True
Q0056,mckenziemichael@example.org,2634161688,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-15,2025-03-18,False,False,2634161688,False,2025-03-15,2025-03-18,3.0,Subscription Cancellation,True
Q0057,jenkinsdavid@example.net,2150242565,Billing Problem,Duplicate transaction found.,Closed,2025-04-29,2025-05-10,False,False,2150242565,False,2025-04-29,2025-05-10,11.0,Billing Problem,True
Q0058,bmayo@example.net,926809499,Subscription Cancellation,App locked after cancellation.,Closed,2025-06-19,2025-06-20,False,False,926809499,False,2025-06-19,2025-06-20,1.0,Subscription Cancellation,True
Q0059,wangjames@example.net,7930553343,Bug Report,Color scheme inconsistent.,Closed,2025-02-08,2025-02-10,False,True,7930553343,True,2025-02-08,2025-02-10,2.0,Bug Report,True
Q0060,mkelly@example.net,8686528317,Subscription Cancellation,Still charged after cancellation.,Closed,2025-04-02,2025-04-12,False,True,8686528317,True,2025-04-02,2025-04-12,10.0,Subscription Cancellation,True
Q0061,morgandennis@example.org,6983259347,Billing Problem,Incorrect tax calculations.,Closed,2025-02-16,2025-02-20,False,True,6983259347,True,2025-02-16,2025-02-20,4.0,Billing Problem,True
Q0062,jamesjose@example.com,9439242759,Bug Report,Color scheme inconsistent.,Closed,2025-05-27,2025-06-01,False,True,9439242759,True,2025-05-27,2025-06-01,5.0,Bug Report,True
Q0063,barnesbrian@example.com,6930315191,Technical Support,Can’t sync data across devices.,Closed,2025-04-23,2025-04-28,False,True,6930315191,True,2025-04-23,2025-04-28,5.0,Technical Support,True
Q0064,barbaraturner@example.org,8680361202,Technical Support,Notifications are not working.,Closed,2025-04-05,2025-04-09,False,True,8680361202,True,2025-04-05,2025-04-09,4.0,Technical Support,True
Q0065,gibsonsandra@example.com,7766813709,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-10,2025-05-18,False,True,7766813709,True,2025-05-10,2025-05-18,8.0,Subscription Cancellation,True
Q0066,jamessmith@example.net,7754111527,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-02-25,2025-03-03,False,True,7754111527,True,2025-02-25,2025-03-03,6.0,Subscription Cancellation,True
Q0067,robertscott@example.com,859123926,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-02-22,2025-03-01,False,False,859123926,False,2025-02-22,2025-03-01,7.0,UI Feedback,True
Q0068,anitasimpson@example.com,1897579169,Technical Support,Download button is inactive.,Closed,2025-07-21,2025-07-29,False,False,1897579169,False,2025-07-21,2025-07-29,8.0,Technical Support,True
Q0069,marvinsalazar@example.org,7900522187,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-02-13,2025-02-16,False,True,7900522187,True,2025-02-13,2025-02-16,3.0,Subscription Cancellation,True
Q0070,bookerphilip@example.net,7305371337,UI Feedback,Dark mode missing in login.,Closed,2025-06-03,2025-06-07,False,True,7305371337,True,2025-06-03,2025-06-07,4.0,UI Feedback,True
Q0071,amber72@example.org,2980576692,Data Export,Need monthly data dump in CSV.,Closed,2025-06-08,2025-06-22,False,False,2980576692,False,2025-06-08,2025-06-22,14.0,Data Export,True
Q0072,sclark@example.net,8362255680,Login Issue,Captcha keeps looping during login.,Closed,2025-05-02,2025-05-05,False,True,8362255680,True,2025-05-02,2025-05-05,3.0,Login Issue,True
Q0073,robert66@example.net,508444117,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-07-12,2025-07-14,False,False,508444117,False,2025-07-12,2025-07-14,2.0,Billing Problem,True
Q0074,mirandahernandez@example.com,1073820068,Data Export,Can’t schedule data export.,Closed,2025-03-05,2025-03-06,False,False,1073820068,False,2025-03-05,2025-03-06,1.0,Data Export,True
Q0075,erinmason@example.net,3020699159,Feature Request,Can you include language translation?,Closed,2025-05-12,2025-05-18,False,False,3020699159,False,2025-05-12,2025-05-18,6.0,Feature Request,True
Q0076,dakotamorris@example.net,504447849,UI Feedback,Filter section takes too much space.,Closed,2025-06-09,2025-06-11,False,False,504447849,False,2025-06-09,2025-06-11,2.0,UI Feedback,True
Q0077,kevinharvey@example.com,3516084282,Technical Support,Can’t install latest update.,Closed,2025-05-07,2025-05-09,False,False,3516084282,False,2025-05-07,2025-05-09,2.0,Technical Support,True
Q0078,jacksonbarry@example.net,5210201985,Login Issue,Account seems to be disabled.,Closed,2025-05-19,2025-05-29,False,False,5210201985,False,2025-05-19,2025-05-29,10.0,Login Issue,True
Q0079,crystal87@example.net,5640491245,Billing Problem,Refund not credited after 7 days.,Closed,2025-02-01,2025-02-06,False,False,5640491245,False,2025-02-01,2025-02-06,5.0,Billing Problem,True
Q0080,stephenswilliam@example.org,6301693680,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-03,2025-02-05,False,True,6301693680,True,2025-02-03,2025-02-05,2.0,Login Issue,True
Q0081,brandonpugh@example.org,1124454576,Billing Problem,Charged extra on my last invoice.,Closed,2025-02-25,2025-03-06,False,False,1124454576,False,2025-02-25,2025-03-06,9.0,Billing Problem,True
Q0082,myerstina@example.org,9628184277,Payment Failure,Payment shows success but app locked.,Closed,2025-04-18,2025-04-24,False,True,9628184277,True,2025-04-18,2025-04-24,6.0,Payment Failure,True
Q0083,reedrebecca@example.net,168975882,Account Suspension,Can I restore my data after suspension?,Closed,2025-07-25,2025-07-27,False,False,168975882,False,2025-07-25,2025-07-27,2.0,Account Suspension,True
Q0084,moorevictoria@example.net,5627021079,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-07-21,2025-07-22,False,False,5627021079,False,2025-07-21,2025-07-22,1.0,Feature Request,True
Q0085,angelamora@example.net,589881633,Data Export,Data export not matching preview.,Closed,2025-04-25,2025-04-27,False,False,589881633,False,2025-04-25,2025-04-27,2.0,Data Export,True
Q0086,dwayne81@example.com,889469595,UI Feedback,Filter section takes too much space.,Closed,2025-07-21,2025-07-31,False,False,889469595,False,2025-07-21,2025-07-31,10.0,UI Feedback,True
Q0087,nwall@example.net,6786351574,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-01-31,2025-02-09,False,True,6786351574,True,2025-01-31,2025-02-09,9.0,Login Issue,True
Q0088,matthewcurry@example.com,4475409658,Data Export,Can’t schedule data export.,Closed,2025-05-07,2025-05-11,False,False,4475409658,False,2025-05-07,2025-05-11,4.0,Data Export,True
Q0089,martinchristopher@example.com,3150651926,Bug Report,Chart not updating after data refresh.,Closed,2025-03-19,2025-04-02,False,False,3150651926,False,2025-03-19,2025-04-02,14.0,Bug Report,True
Q0090,hbaker@example.net,8272736746,Login Issue,Error 401 appearing on login.,Closed,2025-04-23,2025-04-28,False,True,8272736746,True,2025-04-23,2025-04-28,5.0,Login Issue,True
Q0091,ujohnson@example.net,1080952307,Technical Support,Slow performance during peak hours.,Closed,2025-04-16,2025-04-19,False,False,1080952307,False,2025-04-16,2025-04-19,3.0,Technical Support,True
Q0092,bethanysimmons@example.org,7636011241,Data Export,Zip file corrupted during export.,Closed,2025-02-21,2025-02-24,False,True,7636011241,True,2025-02-21,2025-02-24,3.0,Data Export,True
Q0093,fgates@example.org,8349428717,Technical Support,Can’t install latest update.,Closed,2025-05-31,2025-06-13,False,True,8349428717,True,2025-05-31,2025-06-13,13.0,Technical Support,True
Q0094,jasminewashington@example.com,3443854885,Data Export,Export email not received.,Closed,2025-04-16,2025-04-25,False,False,3443854885,False,2025-04-16,2025-04-25,9.0,Data Export,True
Q0095,campbellalan@example.com,9854809652,Billing Problem,Incorrect tax calculations.,Closed,2025-01-29,2025-02-01,False,True,9854809652,True,2025-01-29,2025-02-01,3.0,Billing Problem,True
Q0096,michellejones@example.org,608468228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-06-06,2025-06-07,False,False,608468228,False,2025-06-06,2025-06-07,1.0,Subscription Cancellation,True
Q0097,vjohnson@example.org,8843342950,Feature Request,Need in-app video tutorials.,Closed,2025-02-04,2025-02-10,False,True,8843342950,True,2025-02-04,2025-02-10,6.0,Feature Request,True
Q0098,robinsonjacqueline@example.net,7146510641,Technical Support,Notifications are not working.,Closed,2025-06-11,2025-06-14,False,True,7146510641,True,2025-06-11,2025-06-14,3.0,Technical Support,True
Q0099,amanda58@example.com,5673327709,Data Export,Exported PDF looks blank.,Closed,2025-07-09,2025-07-21,False,False,5673327709,False,2025-07-09,2025-07-21,12.0,Data Export,True
Q0100,turnerricardo@example.org,4582284595,Data Export,Time range in export is incorrect.,Closed,2025-02-12,2025-02-25,False,False,4582284595,False,2025-02-12,2025-02-25,13.0,Data Export,True
Q0101,ymendoza@example.com,2226525748,Payment Failure,Bank transaction shows pending.,Closed,2025-04-24,2025-05-03,False,False,2226525748,False,2025-04-24,2025-05-03,9.0,Payment Failure,True
Q0102,nicholas05@example.org,9511429556,Technical Support,Getting JSON decode error.,Closed,2025-04-01,2025-04-02,False,True,9511429556,True,2025-04-01,2025-04-02,1.0,Technical Support,True
Q0103,jenniferroberts@example.com,5589526122,Login Issue,Unable to login with correct credentials.,Closed,2025-04-19,2025-04-21,False,False,5589526122,False,2025-04-19,2025-04-21,2.0,Login Issue,True
Q0104,dfuller@example.com,1090588018,Technical Support,White screen on startup.,Closed,2025-05-02,2025-05-07,False,False,1090588018,False,2025-05-02,2025-05-07,5.0,Technical Support,True
Q0105,eellis@example.org,1267351706,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-04-10,2025-04-11,False,False,1267351706,False,2025-04-10,2025-04-11,1.0,Subscription Cancellation,True
Q0106,oclarke@example.net,8044954993,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-02-23,2025-03-10,False,True,8044954993,True,2025-02-23,2025-03-10,15.0,Billing Problem,True
Q0107,bryanhudson@example.com,1829817058,Feature Request,Would like push notifications for updates.,Closed,2025-06-21,2025-06-22,False,False,1829817058,False,2025-06-21,2025-06-22,1.0,Feature Request,True
Q0108,jacksonashley@example.org,3498140888,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-25,2025-03-26,False,False,3498140888,False,2025-03-25,2025-03-26,1.0,Subscription Cancellation,True
Q0109,lauranorris@example.net,6696961385,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-02-06,2025-02-21,False,True,6696961385,True,2025-02-06,2025-02-21,15.0,Billing Problem,True
Q0110,hayskyle@example.com,8114549073,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-05-17,2025-05-26,False,True,8114549073,True,2025-05-17,2025-05-26,9.0,Billing Problem,True
Q0111,johnmcdowell@example.com,8548971451,Login Issue,Login working on browser but not app.,Closed,2025-05-09,2025-05-23,False,True,8548971451,True,2025-05-09,2025-05-23,14.0,Login Issue,True
Q0112,jaredbriggs@example.com,9436772822,Bug Report,Chart not updating after data refresh.,Closed,2025-06-04,2025-06-13,False,True,9436772822,True,2025-06-04,2025-06-13,9.0,Bug Report,True
Q0113,renee63@example.com,666160520,Bug Report,Reports section not opening.,Closed,2025-03-10,2025-03-14,False,False,666160520,False,2025-03-10,2025-03-14,4.0,Bug Report,True
Q0114,hayestraci@example.com,5336123083,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-07,2025-04-10,False,False,5336123083,False,2025-04-07,2025-04-10,3.0,Billing Problem,True
Q0115,wsalazar@example.com,9964147740,Login Issue,Session expires immediately after login.,Closed,2025-07-24,2025-07-26,False,True,9964147740,True,2025-07-24,2025-07-26,2.0,Login Issue,True
Q0116,brooke41@example.com,7838481278,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-18,2025-02-19,False,True,7838481278,True,2025-02-18,2025-02-19,1.0,Login Issue,True
Q0117,codycalhoun@example.org,5155668344,Feature Request,Multi-user role system would help.,Closed,2025-02-21,2025-02-23,False,False,5155668344,False,2025-02-21,2025-02-23,2.0,Feature Request,True
Q0118,virginia04@example.com,4776889228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-07-25,2025-08-01,False,False,4776889228,False,2025-07-25,2025-08-01,7.0,Subscription Cancellation,True
Q0119,juliegriffin@example.com,3103165838,Bug Report,Date selector not responsive.,Closed,2025-06-29,2025-07-04,False,False,3103165838,False,2025-06-29,2025-07-04,5.0,Bug Report,True
Q0120,cynthiamathews@example.org,9248696404,Payment Failure,Payment gateway not redirecting.,Closed,2025-03-03,2025-03-05,False,True,9248696404,True,2025-03-03,2025-03-05,2.0,Payment Failure,True
Q0121,sbaxter@example.org,6494163603,Feature Request,Ability to bulk edit entries needed.,Closed,2025-05-24,2025-05-25,False,True,6494163603,True,2025-05-24,2025-05-25,1.0,Feature Request,True
Q0122,warrensusan@example.com,5552831330,Payment Failure,Need confirmation after retry.,Closed,2025-05-02,2025-05-14,False,False,5552831330,False,2025-05-02,2025-05-14,12.0,Payment Failure,True
Q0123,mossdavid@example.org,6873257806,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-26,2025-07-04,False,True,6873257806,True,2025-06-26,2025-07-04,8.0,UI Feedback,True
Q0124,smithmegan@example.net,1280459229,Login Issue,Cannot log in on mobile app.,Closed,2025-01-29,2025-02-07,False,False,1280459229,False,2025-01-29,2025-02-07,9.0,Login Issue,True
Q0125,carpenterelizabeth@example.net,8796313550,UI Feedback,Font inconsistent across pages.,Closed,2025-04-25,2025-04-26,False,True,8796313550,True,2025-04-25,2025-04-26,1.0,UI Feedback,True
Q0126,dfisher@example.net,4578997498,Login Issue,Login working on browser but not app.,Closed,2025-06-01,2025-06-03,False,False,4578997498,False,2025-06-01,2025-06-03,2.0,Login Issue,True
Q0127,flemingbrandon@example.org,9992235599,Bug Report,Blank screen after form submission.,Closed,2025-05-02,2025-05-18,False,True,9992235599,True,2025-05-02,2025-05-18,16.0,Bug Report,True
Q0128,smatthews@example.org,9878160821,Account Suspension,Can’t access services due to ban.,Closed,2025-06-24,2025-06-25,False,True,9878160821,True,2025-06-24,2025-06-25,1.0,Account Suspension,True
Q0129,edwin98@example.net,2149646307,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-03-27,2025-04-04,False,False,2149646307,False,2025-03-27,2025-04-04,8.0,UI Feedback,True
Q0130,amanda10@example.com,154235856,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-04-11,2025-04-13,False,False,154235856,False,2025-04-11,2025-04-13,2.0,Account Suspension,True
Q0131,lwagner@example.net,4546939886,Data Export,Can’t schedule data export.,Closed,2025-05-01,2025-05-02,False,False,4546939886,False,2025-05-01,2025-05-02,1.0,Data Export,True
Q0132,bernardrobinson@example.org,9979048078,Bug Report,Sidebar collapses on scroll.,Closed,2025-05-27,2025-05-28,False,True,9979048078,True,2025-05-27,2025-05-28,1.0,Bug Report,True
Q0133,heather85@example.net,7000287242,Bug Report,Date selector not responsive.,Closed,2025-05-17,2025-05-22,False,True,7000287242,True,2025-05-17,2025-05-22,5.0,Bug Report,True
Q0134,smithnicole@example.com,6469014856,Data Export,Auto-export not working on Fridays.,Closed,2025-03-27,2025-04-03,False,True,6469014856,True,2025-03-27,2025-04-03,7.0,Data Export,True
Q0135,pagenicholas@example.net,2125490550,Technical Support,Download button is inactive.,Closed,2025-07-07,2025-07-10,False,False,2125490550,False,2025-07-07,2025-07-10,3.0,Technical Support,True
Q0136,savagemelissa@example.org,7738648797,Data Export,Need export in regional time zone.,Closed,2025-02-17,2025-02-19,False,True,7738648797,True,2025-02-17,2025-02-19,2.0,Data Export,True
Q0137,srodriguez@example.com,9826356826,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-02-23,2025-02-27,False,True,9826356826,True,2025-02-23,2025-02-27,4.0,Billing Problem,True
Q0138,annkeller@example.com,5129723443,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-05-27,2025-06-01,False,False,5129723443,False,2025-05-27,2025-06-01,5.0,Login Issue,True
Q0139,chelsey42@example.net,8214713059,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-02-02,2025-02-09,False,True,8214713059,True,2025-02-02,2025-02-09,7.0,Subscription Cancellation,True
Q0140,jennifer89@example.org,1403322177,Technical Support,App crashes after update.,Closed,2025-01-30,2025-02-03,False,False,1403322177,False,2025-01-30,2025-02-03,4.0,Technical Support,True
Q0141,andrewgarrison@example.com,8368522186,Billing Problem,Late fee charged wrongly.,Closed,2025-04-05,2025-04-09,False,True,8368522186,True,2025-04-05,2025-04-09,4.0,Billing Problem,True
Q0142,timothyjimenez@example.org,4994113556,UI Feedback,Sidebar hides important links.,Closed,2025-02-20,2025-03-05,False,False,4994113556,False,2025-02-20,2025-03-05,13.0,UI Feedback,True
Q0143,hponce@example.com,1192619365,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-06-28,2025-07-09,False,False,1192619365,False,2025-06-28,2025-07-09,11.0,Subscription Cancellation,True
Q0144,ynash@example.com,630475489,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-08,2025-04-15,False,False,630475489,False,2025-04-08,2025-04-15,7.0,Billing Problem,True
Q0145,murraymichael@example.net,7119256146,Login Issue,Cannot log in on mobile app.,Closed,2025-07-27,2025-07-28,False,True,7119256146,True,2025-07-27,2025-07-28,1.0,Login Issue,True
Q0146,qjackson@example.com,3873891524,Account Suspension,Received policy violation but unclear why.,Closed,2025-03-09,2025-03-10,False,False,3873891524,False,2025-03-09,2025-03-10,1.0,Account Suspension,True
